Device,Name,ObjectType,Instance
1210119,AI_10,0,10
1210119,AI_1,1,1
1210119,AV_0,2,0
1210119,AV_1,2,1
1210119,AV_4,2,4
1210119,AV_9,2,9
1210119,AV_67,2,67
1210119,AV_68,2,68
1210119,AV_69,2,69
1210119,AV_70,2,70
1210119,AV_89,2,89
1210119,AV_90,2,90
1210119,AV_99,2,99
1210119,AV_100,2,100
1210119,AV_101,2,101
1210119,AV_103,2,103
1210119,BO_0,4,0
1210119,BV_67,5,67
1210120,AI_2,0,2
1210120,AI_10,0,10
1210120,AI_1,1,1
1210120,AV_0,2,0
1210120,AV_1,2,1
1210120,AV_4,2,4
1210120,AV_9,2,9
1210120,AV_67,2,67
1210120,AV_68,2,68
1210120,AV_69,2,69
1210120,AV_70,2,70
1210120,AV_89,2,89
1210120,AV_90,2,90
1210120,AV_99,2,99
1210120,AV_100,2,100
1210120,AV_101,2,101
1210120,AV_103,2,103
1210120,BO_0,4,0
1210120,BV_67,5,67
1210121,AI_2,0,2
1210121,AI_10,0,10
1210121,AI_1,1,1
1210121,AV_0,2,0
1210121,AV_1,2,1
1210121,AV_4,2,4
1210121,AV_9,2,9
1210121,AV_67,2,67
1210121,AV_68,2,68
1210121,AV_69,2,69
1210121,AV_70,2,70
1210121,AV_89,2,89
1210121,AV_90,2,90
1210121,AV_99,2,99
1210121,AV_100,2,100
1210121,AV_101,2,101
1210121,AV_103,2,103
1210121,BO_0,4,0
1210121,BV_67,5,67
1210122,AI_2,0,2
1210122,AI_10,0,10
1210122,AI_1,1,1
1210122,AV_0,2,0
1210122,AV_1,2,1
1210122,AV_4,2,4
1210122,AV_9,2,9
1210122,AV_65,2,65
1210122,AV_67,2,67
1210122,AV_68,2,68
1210122,AV_69,2,69
1210122,AV_70,2,70
1210122,AV_89,2,89
1210122,AV_90,2,90
1210122,AV_99,2,99
1210122,AV_100,2,100
1210122,AV_101,2,101
1210122,AV_103,2,103
1210122,BO_0,4,0
1210122,BO_1,4,1
1210122,BV_67,5,67
1210123,AI_2,0,2
1210123,AI_10,0,10
1210123,AI_1,1,1
1210123,AV_0,2,0
1210123,AV_1,2,1
1210123,AV_4,2,4
1210123,AV_9,2,9
1210123,AV_65,2,65
1210123,AV_67,2,67
1210123,AV_68,2,68
1210123,AV_69,2,69
1210123,AV_70,2,70
1210123,AV_89,2,89
1210123,AV_90,2,90
1210123,AV_99,2,99
1210123,AV_100,2,100
1210123,AV_101,2,101
1210123,AV_103,2,103
1210123,BO_0,4,0
1210123,BO_1,4,1
1210123,BV_67,5,67
1210124,AI_2,0,2
1210124,AI_10,0,10
1210124,AI_1,1,1
1210124,AV_0,2,0
1210124,AV_1,2,1
1210124,AV_4,2,4
1210124,AV_9,2,9
1210124,AV_67,2,67
1210124,AV_68,2,68
1210124,AV_69,2,69
1210124,AV_70,2,70
1210124,AV_89,2,89
1210124,AV_90,2,90
1210124,AV_99,2,99
1210124,AV_100,2,100
1210124,AV_101,2,101
1210124,AV_103,2,103
1210124,BO_0,4,0
1210124,BV_67,5,67
1210125,AI_2,0,2
1210125,AI_10,0,10
1210125,AI_1,1,1
1210125,AV_0,2,0
1210125,AV_1,2,1
